x,y,category
0.052,1.512,0
1.028,-1.616,0
1.856,0.544,0
-1.016,-1.44,1
0.4,1.308,0
-1.12,0.432,1
-1.512,0.048,1
0.964,0.476,1
1.508,0.916,0
-0.236,1.788,1
-1.176,0.16,1
-0.044,-1.948,0
1.068,-1.808,0
0.248,1.068,0
-1.384,0.604,1
0.724,-1.224,1
-1.436,-0.488,0
-0.32,0.168,0
-0.132,1.888,1
-0.336,0.652,0
-0.676,-0.204,1
0.192,0.64,1
1.88,-0.452,1
-0.556,0.844,0
-1.936,1.76,0
-1.8,-1.24,1
0.272,0.636,1
-0.248,1.156,1
-0.144,-1.156,0
0.94,1.128,0
1.176,-0.588,1
0.776,-1.78,1
-0.42,1.912,1
0.08,0.524,1
-0.376,-1.308,0
-0.892,-0.78,1
1.316,0.116,0
0.572,0.428,1
-0.188,-0.412,1
1.212,-1.62,0
-1.572,-1.14,1
1.696,0.216,0
-0.412,1.48,1
1.892,1.636,1
0.104,1.136,0
-0.924,0.028,0
-0.324,-1.908,0
-0.524,-0.364,1
-1.916,-0.76,0
1.488,-1.556,0
0.024,-1.932,1
-1.112,1.164,0
0.884,-1.384,1
0.184,1.776,0
0.496,1.3,0
1.768,-1.824,0
-0.836,1.792,1
0.712,-0.504,0
-0.9,-1.08,0
-0.168,0.272,0
0.216,0.576,1
-1.54,0.348,1
0.488,-0.196,0
-1.988,-1.028,1
-0.3,1.144,1
0.916,1.832,0
-0.092,-0.988,1
0.54,-1.556,1
1.548,-0.364,1
-0.876,-1.84,0
-1.28,1.388,0
-0.56,-1.576,0
-0.1,-1.592,0
1.944,1.3,1
-0.224,1.34,1
0.572,1.608,0
-0.004,-0.452,1
-0.26,-0.98,1
-1.58,1.756,0
1.448,0.892,0
0.356,0.904,1
1.432,-1.312,0
-1.324,0.22,1
0.336,-0.38,0
0.468,0.52,1
-0.672,1.008,1
-1.32,1.244,0
-0.608,1.132,1
0.96,-1.08,1
1.796,1.148,1
0.02,1.22,0
0.768,1.456,0
0.04,1.668,0
1.652,0.344,0
0.468,0.752,1
1.66,1.168,1
-0.952,1.812,1
1.796,1.94,1
-0.736,1.924,1
-1.4,-1.612,1
1.62,-1.004,0
0.204,-1.432,1
-0.96,-0.604,1
0.28,-1.192,1
-1.232,0.06,1
-1.46,1.792,0
-1.616,-0.16,0
1.952,-0.98,1
-1.156,0.848,1
0.012,0.268,1
1.808,1.196,1
-0.94,-0.436,1
0.216,1.736,0
1.892,0.864,0
-0.6,1.94,1
-1.392,1.736,0
1.904,1.4,1
-1.156,-0.944,0
1.136,-0.3,1
-0.2,-0.368,1
-1.628,1.412,0
0.764,1.364,0
-0.54,-1.768,0
-1.532,0.076,1
-1.8,-1.944,1
-1.324,-0.508,0
-0.992,-1.8,0
1.328,-0.544,1
-1.548,0.744,1
-1.592,-1.008,1
-0.012,-1.98,0
0.3,-0.412,0
0.38,1.32,0
-0.744,0.912,0
-1.84,-1.1,1
-1.016,1.244,0
-0.14,0.696,0
1.972,1.412,1
0.872,0.428,1
-1.668,1.016,0
-1.12,0.696,1
-0.432,1.028,1
1.28,-1.276,0
0.488,0.176,1
1.052,-0.356,1
1.104,-0.984,1
1.16,-0.832,1
-0.484,1.828,1
-0.656,-0.628,1
1.216,-1.336,0
-1.292,-0.852,0
0.12,-1.368,1
-0.796,0.212,0
-0.828,-1.036,0
-0.248,1.936,1
-1.312,0.96,1
-0.864,0.156,0
-0.724,-1.656,0
0.64,-1.44,1
0.596,-1.212,1
-1.88,-1.656,1
0.688,-1.676,1
0.62,0.704,1
-1.992,-0.604,0
-1.86,-0.812,0
-0.648,-0.668,1
-0.268,-1.748,0
-0.896,-0.212,1
-0.82,1.98,1
1.132,0.916,0
1.228,-1.22,0
-0.916,-0.832,1
-1.424,-1.936,1
-1.208,0.868,1
1.136,1.324,1
-1.996,0.868,1
0.768,-1.612,1
-1.252,-1.108,1
1.416,-0.372,1
1.256,1.116,1
1.408,-0.328,1
-1.024,0.132,1
1.468,-1.084,0
-1.152,-0.68,0
-1.016,0.072,1
-0.836,-0.716,1
0.772,-0.444,0
-0.6,-0.328,1
1.284,1.572,1
-1.12,-0.304,0
-1.536,-0.94,0
1.948,0.676,0
1.36,-1.424,0
1.536,-1.96,0
-1.988,1.328,0
0.104,1.572,0
-0.52,-0.876,1
-1.916,-0.048,0
-1.14,-1.312,1
-1.928,-0.8,0
-0.26,0.172,0
-1.444,0.664,1
0.088,-1.14,1
1.716,1.348,1
-1.404,-0.376,0
0.408,0.62,1
1.976,-1.444,0
-0.892,0.264,0
-1.408,0.908,1
1.08,-0.008,1
1.928,-1.508,0
-1.552,-0.328,0
-1.116,1.664,0
1.772,-0.228,1
-0.04,0.66,0
-0.008,-0.136,1
-1.496,1.18,0
0.08,0.792,1
0.26,0.632,1
-0.204,-0.956,1
-0.548,-1.944,0
0.176,1.036,0
1.42,0.116,0
-1.388,-0.688,0
0.308,-1.088,1
-1.872,-0.1,0
0.312,1.532,0
1.2,-1.716,0
0.42,-1.372,1
1.848,1.704,1
-0.32,-0.08,1
-1.152,-1.104,1
0.124,0.236,1
-1.364,0.676,1
-1.02,0.828,1
0.08,-1.44,1
-0.208,-0.412,1
-0.02,1.6,1
0.988,0.616,1
-0.6,1.58,1
-1.148,0.504,1
-1.388,1.664,0
1.168,0.068,0
-0.724,1.336,1
-0.152,1.8,1
-0.284,0.236,0
1.208,-0.064,1
-1.86,-1.016,1
1.944,-1.624,0
0.272,-0.964,0
-0.504,-1.012,0
-1.924,0.956,1
-1.82,-1.452,1
0.988,-1.508,1
-1.608,1.064,0
-1.208,-0.192,0
1.876,0.164,0
-1.472,-0.692,0
-1.068,-1.676,1
0.736,1.108,0
-1.8,1.376,0
1.056,-1.816,0
-1.808,-0.056,0
-1.74,-1.068,1
0.024,-1.308,1
-0.292,0.36,0
0.748,-1.08,1
-1.856,-0.908,0
-1.572,-1.776,1
0.08,1.896,0
0.676,-1.432,1
-0.248,-0.76,1
-1.62,0.108,1
-1.248,1.316,0
-1.204,1.204,0
1.496,1.04,1
-0.696,1.016,1
-1.644,-0.808,0
-1.476,1.76,0
0.08,1.82,0
0.168,-0.784,0
1.56,-1.748,0
0.884,-0.32,0
1.552,-1.148,0
0.736,0.12,1
0.932,-0.468,0
0.42,-1.096,1
0.996,0.76,1
0.152,-1.664,1
-0.72,-1.048,0
-1.148,-1.34,1
1.58,1.252,1
-0.16,-0.708,1
-0.484,1.62,1
-0.012,0.664,0
-1.872,-1.532,1
0.156,0.148,1
1.236,0.34,0
-0.888,-0.76,1
-1.156,-1.628,1
-1.012,0.008,1
-1.284,1.252,0
-0.324,-1.084,0
1.14,-0.54,1
-0.784,-0.268,1
-0.084,1.924,1
-0.276,-1.476,0
-1.072,1.492,0
1.76,-1.02,0
1.828,1.488,1
1.604,1.016,1
0.708,-0.604,0
-1.044,-0.84,0
-0.808,-0.396,1
-0.72,-1.812,0
-1.964,-0.332,0
-1.648,0.476,1
-0.052,0.704,0
-0.064,1.048,1
1.916,1.56,1
-1.284,0.48,1
1.832,-1.268,0
-0.364,1.352,1
1.864,-1.26,0
-0.992,0.596,0
0.996,0.756,1
-1.404,-0.452,0
-0.304,-1.36,0
1.052,1.176,1
1.32,1.872,1
-1.244,-0.66,0
-0.616,-1.808,0
-1.004,-1.92,1
-0.672,1.032,1
0.2,-0.76,0
1.592,1.264,1
-0.612,-0.2,1
0.0,0.056,1
1.316,-0.504,1
-0.288,0.004,0
-0.16,0.604,0
0.828,-0.472,0
0.888,-1.088,1
-0.576,1.044,1
-1.6,-1.412,1
1.084,1.96,1
0.916,0.612,1
-0.568,0.212,0
0.436,1.604,0
1.788,-0.552,1
0.732,0.776,1
-0.76,0.484,0
1.28,1.204,1
0.72,0.648,1
1.172,0.348,0
-1.756,0.888,1
0.952,0.476,1
0.068,-1.284,1
-1.128,-0.636,0
-0.728,-1.748,0
-0.676,1.872,1
-1.24,1.568,0
0.596,-0.832,0
-1.924,-0.348,0
-1.764,1.116,0
1.432,-0.724,1
-1.372,1.436,0
-1.344,-1.176,1
0.82,-1.312,1
1.744,-1.98,0
0.976,-1.652,1
0.804,-1.208,1
-1.684,1.52,0
0.732,-1.504,1
1.312,1.484,1
-1.816,-1.064,1
1.932,-1.828,0
1.58,-1.56,0
1.74,0.724,0
1.808,1.316,1
-0.184,-1.88,0
-0.608,1.332,1
-1.548,1.604,0
0.18,0.376,1
-0.932,1.388,1
1.644,1.66,1
-1.012,-0.148,0
-0.572,1.372,1
1.316,1.892,1
-0.852,0.12,0
0.948,-0.32,0
-0.16,-0.472,1
0.988,-0.992,0
1.944,1.012,1
1.792,0.484,0
0.672,-0.156,0
1.712,1.552,1
1.716,-0.824,1
-1.588,-1.976,1
0.652,-1.052,1
-1.472,-1.0,0
1.32,-1.316,0
-1.124,-0.376,0
-0.756,-0.412,1
0.54,-0.436,0
0.056,-0.04,0
1.264,-1.288,0
1.88,-1.336,0
-1.764,-1.192,1
0.532,-0.064,0
-0.408,-1.816,0
-0.58,-0.956,1
1.52,0.452,0
-0.004,1.316,1
0.212,0.596,1
1.584,0.156,0
1.468,0.28,0
1.908,-0.08,1
-0.644,-0.04,1
-1.356,0.08,1
0.688,-1.296,1
-1.448,-0.648,0
-1.008,-1.316,1
0.06,0.872,1
-0.984,-0.868,1
1.188,-0.004,1
-1.84,-0.42,0
0.848,0.044,1
1.408,-1.036,0
1.064,-0.404,1
-1.32,-1.66,1
0.236,-0.3,0
-1.312,-1.256,1
-1.6,1.26,0
-0.464,0.672,0
0.476,0.952,1
1.668,0.312,0
1.58,1.36,1
-1.404,1.896,0
0.044,1.032,0
-0.668,1.94,1
-0.692,-0.116,1
-1.044,-1.6,1
-1.196,1.764,0
-1.48,0.004,1
-1.436,0.464,1
1.212,1.74,1
1.96,0.864,0
-0.424,-0.396,1
-1.716,-1.056,1
0.328,1.968,0
1.084,1.5,1
-1.572,0.712,1
0.068,-0.184,0
-1.092,0.812,1
1.416,1.732,1
-1.78,-1.78,1
-1.896,1.696,0
-0.4,1.916,1
-0.8,0.824,0
-0.336,-0.7,1
-1.848,0.492,1
-1.124,-1.896,1
-0.472,1.7,1
1.58,0.852,0
-1.892,-0.492,0
1.692,-0.984,1
-1.396,0.872,1
-1.896,-1.06,1
1.468,-0.16,1
-1.54,-0.872,0
-1.704,1.08,0
1.424,-1.696,0
0.104,0.856,1
-1.948,-0.444,0
0.244,-0.14,0
-0.48,-0.584,1
-0.004,-1.504,0
-0.54,-1.464,0
-0.94,0.444,0
1.592,-0.168,1
0.328,-0.412,0
0.064,1.732,0
-1.224,-0.5,0
-0.312,-1.624,0
1.304,-1.96,0
1.84,0.068,0
1.384,-0.548,1
-0.444,-1.26,0
1.636,-0.42,1
1.52,0.096,0
-1.832,-0.216,0
0.48,0.72,1
1.428,1.632,1
-1.912,-0.368,0
-0.404,-0.56,1
0.388,0.12,1
-0.588,-1.724,0
-1.548,1.268,0
0.892,-1.216,1
1.86,-1.556,0
1.424,1.204,1
-0.184,-0.544,1
-0.412,-1.252,0
1.108,0.284,0
0.332,0.368,1
0.748,-1.728,1
-1.928,-1.632,1
1.024,-0.852,1
-0.084,0.492,0
0.176,0.276,1
-0.156,-0.916,1
-0.08,1.112,1
-0.464,-0.084,1
-1.748,0.796,1
0.844,0.472,1
0.132,1.844,0
0.912,0.76,1
-1.392,0.08,1
0.224,-0.204,0
-1.748,-1.708,1
-1.728,-1.792,1
-1.88,-0.192,0
1.832,1.608,1
0.352,-0.94,0
-1.888,-0.728,0
1.088,-0.52,1
1.04,1.072,1
-0.832,-1.84,0
0.984,1.216,0
-0.416,-1.592,0
-0.296,0.08,0
0.452,-1.196,1
-0.632,1.184,1
-1.788,-0.636,0
1.904,1.46,1
-0.528,-1.792,0
-0.16,0.812,0
-0.856,-1.98,0
-1.008,0.564,1
1.088,0.816,0
-0.872,1.0,1
-0.08,1.728,1
1.88,1.208,1
-1.94,0.588,1
1.652,-1.736,0
-1.468,1.4,0
1.952,-1.26,0
1.248,0.008,0
0.416,1.06,0
-1.08,1.184,0
-0.552,1.816,1
-0.556,-0.252,1
1.824,-0.724,1
-0.788,-0.1,1
-1.548,0.952,1
1.84,-1.228,0
1.82,-1.748,0
-0.768,-0.508,1
1.528,1.352,1
0.648,-0.708,0
-1.436,1.676,0
-1.64,1.204,0
-1.308,0.428,1
1.024,-0.8,1
0.872,0.024,1
-0.312,0.628,0
1.532,-1.508,0
-0.492,-1.728,0
1.796,0.644,0
-1.24,-0.456,0
1.472,-0.704,1
0.236,-0.272,0
-1.184,-0.508,0
-0.916,0.08,0
-1.772,-1.14,1
0.84,-1.232,1
-0.096,-0.592,1
0.816,-1.668,1
-0.856,0.816,0
-0.572,1.868,1
-1.708,-0.984,0
1.792,0.976,0
-0.708,1.12,1
1.184,-1.232,0
-0.896,1.208,1
-0.076,1.276,1
1.672,-1.288,0
1.788,0.48,0
1.592,-0.096,1
0.324,-0.528,0
-0.424,1.904,1
-0.672,-1.452,0
-0.112,-1.612,0
-1.724,1.608,0
1.612,-0.348,1
1.204,0.996,0
0.096,-0.068,0
0.368,0.184,1
1.7,1.932,1
1.568,0.636,0
-1.956,-0.32,0
1.336,-1.008,0
-1.812,-0.388,0
-1.804,0.684,1
0.632,1.288,0
1.976,0.888,0
-0.756,1.344,1
-0.592,0.232,0
-1.392,-1.748,1
0.2,0.616,1
-1.696,-1.856,1
-1.812,1.24,0
0.604,-1.74,1
-1.152,0.476,1
-1.744,1.752,0
1.368,0.016,0
0.004,-0.644,0
-0.756,-0.416,1
0.66,1.952,0
-0.152,-1.248,0
-0.352,-1.86,0
0.356,0.38,1
0.552,-1.808,1
1.796,1.88,1
-0.78,-0.512,1
1.16,-0.116,1
0.504,1.156,0
0.392,-1.18,1
-0.424,-1.008,0
-1.124,-0.776,0
0.6,-0.604,0
1.852,-0.824,1
1.856,-1.06,0
0.696,1.316,0
0.216,-1.488,1
0.4,1.112,0
1.108,-1.556,0
0.004,-1.012,1
-1.084,-0.952,0
0.844,-0.096,0
0.46,-0.292,0
0.524,-1.904,1
-0.416,0.776,0
1.752,-0.688,1
1.804,-0.072,1
-0.676,-1.428,0
-1.788,0.4,1
-1.384,0.028,1
-0.192,-1.364,0
-1.256,0.056,1
-0.768,-1.516,0
-0.324,-1.304,0
-0.196,0.912,0
1.728,1.988,1
-1.148,-0.856,0
1.808,-1.196,0
-0.276,-1.704,0
0.088,1.828,0
-1.38,1.988,0
1.316,-1.336,0
1.628,-1.484,0
-2.0,1.084,0
-1.472,-0.46,0
1.24,1.06,1
1.452,-1.86,0
0.9,-1.268,1
-1.124,0.808,1
-0.9,1.488,1
1.348,0.06,0
-0.16,-0.996,1
-0.916,-0.764,1
-2.0,1.684,0
0.212,-0.036,0
-1.836,1.208,0
-0.684,-0.584,1
-0.652,-1.992,0
1.468,-0.984,1
1.684,-0.492,1
0.632,-0.784,0
-0.356,-0.1,1
-0.808,-1.644,0
-0.688,-1.416,0
1.896,-1.116,0
1.168,1.32,1
0.66,0.864,1
-1.372,0.52,1
-1.66,0.784,1
-1.724,-0.188,0
0.196,-1.172,1
0.396,-0.76,0
0.456,1.364,0
-0.004,-1.16,0
0.164,1.136,0
0.976,0.54,1
0.32,0.044,1
-0.776,0.392,0
-1.692,-1.472,1
-1.596,-1.524,1
1.348,-1.576,0
1.808,-0.724,1
-0.028,1.908,1
-0.152,-1.236,0
1.616,-0.316,1
-0.672,-0.096,1
-0.6,-1.736,0
1.604,1.392,1
0.692,0.508,1
-1.552,-0.852,0
-1.468,0.844,1
1.864,-0.82,1
-1.26,0.28,1
0.104,-1.296,1
-0.78,-0.296,1
1.592,-0.512,1
-0.58,-0.58,1
0.496,0.94,1
-0.42,-0.932,1
1.06,1.408,1
1.992,1.572,1
-1.028,0.944,1
0.296,-1.608,1
0.904,0.62,1
1.564,-0.328,1
1.992,0.308,0
-0.38,1.952,1
1.448,1.508,1
-1.08,-0.892,0
0.116,-1.98,1
0.46,1.988,0
-1.588,1.096,0
-0.432,-1.412,0
-1.504,-0.456,0
-1.568,-1.228,1
1.212,-0.06,1
0.62,-0.556,0
-0.632,0.34,0
1.596,-1.608,0
1.332,-1.44,0
0.088,-0.396,0
-1.684,-0.232,0
-1.76,0.656,1
-0.588,-0.496,1
1.272,-1.8,0
-0.456,-1.132,0
-0.172,0.06,0
-1.224,0.636,1
1.088,-0.688,1
-0.312,0.452,0
-1.984,-1.856,1
0.24,-1.852,1
-1.92,0.46,1
-0.772,0.456,0
0.292,1.736,0
1.856,-1.32,0
0.64,0.928,1
1.316,-1.732,0
-0.416,-0.052,1
-0.676,1.088,1
1.508,0.44,0
1.712,-0.568,1
0.068,-1.04,1
0.908,0.136,1
1.748,-0.388,1
1.628,-0.816,1
1.416,-0.012,1
-0.844,-1.316,0
-1.568,-0.12,0
-0.992,-0.804,1
0.156,1.872,0
-1.528,-1.264,1
-0.484,0.592,0
-0.76,0.088,0
0.14,0.52,1
-0.496,-1.368,0
0.388,1.636,0
-1.388,-0.04,0
-0.228,-0.48,1
0.552,1.128,0
-1.556,1.084,0
-0.84,-0.132,1
-0.044,-1.608,0
-0.692,0.028,0
-1.596,-0.704,0
0.44,1.3,0
0.864,0.872,1
-0.132,0.764,0
-1.68,0.532,1
-0.252,-0.852,1
0.428,1.808,0
0.916,0.608,1
1.292,0.388,0
0.648,-1.212,1
-1.088,-0.628,0
1.556,-1.664,0
0.612,-1.228,1
1.736,0.824,0
1.724,-0.044,1
-1.684,-1.912,1
-0.436,-0.812,1
0.776,-1.576,1
-0.832,1.088,1
-0.2,0.744,0
-1.576,0.008,1
1.112,-1.636,0
0.028,0.832,1
0.04,-0.024,0
1.448,-0.264,1
-1.684,-1.148,1
-1.144,-0.588,0
-1.2,1.832,0
1.772,0.8,0
-1.56,1.684,0
-0.524,1.704,1
-0.94,1.648,1
-1.204,-0.38,0
-0.468,0.208,0
-0.916,0.624,0
1.984,0.04,0
-1.948,1.14,0
-0.564,1.444,1
-1.752,1.684,0
-0.228,-0.06,1
-1.312,1.076,0
